comment,sentiment,category,rating
Oke lah,neutral,ambiguous,2
Standar,neutral,ambiguous,3
Lumayan,neutral,ambiguous,3
So so,neutral,ambiguous,4
Sesuai harga,neutral,ambiguous,2
Biasa aja sih,neutral,ambiguous,3
Gitu aja,neutral,ambiguous,3
Ya lumayan lah,neutral,ambiguous,4
B aja,neutral,ambiguous,3
Gak tau deh,neutral,ambiguous,3
Standar aja kok,neutral,ambiguous,2
Yaudah sih,neutral,ambiguous,3
Oke kok,neutral,ambiguous,4
Segitu aja,neutral,ambiguous,3
Cukup lah,neutral,ambiguous,3
Ya begitulah,neutral,ambiguous,2
Memadai,neutral,ambiguous,4
Not bad not good,neutral,ambiguous,3
Mayan lah ya,neutral,ambiguous,4
Masih oke,neutral,ambiguous,3
Ya gapapa,neutral,ambiguous,3
Gitu doang,neutral,ambiguous,3
Seperti itu,neutral,ambiguous,3
"Untuk harga segini, jangan berharap banyak",neutral,contextual,3
Sesuai ekspektasi harga murah,neutral,contextual,4
Mahal tapi sebanding dengan kualitas,positive,contextual,5
Murah meriah tapi ga murahan,positive,contextual,4
Mahal tapi zonk,negative,contextual,1
Harga 20rb ya kualitas 20rb,neutral,contextual,4
Dengan harga segini udah cukup puas,positive,contextual,5
Mahal tapi ga sesuai ekspektasi harga,negative,contextual,2
Budget friendly dan kualitas lumayan,positive,contextual,4
"Untuk harga premium, kualitasnya kurang",negative,contextual,2
"Harga pas dikantong, kualitas pas di hati",positive,contextual,5
Murah sih tapi ya gitu deh,neutral,contextual,3
"Premium price, premium quality",positive,contextual,4
Sesuai budget pelajar,neutral,contextual,4
"Untuk kelas harga ini, disappointing",negative,contextual,2
Worth every penny,positive,contextual,4
Harganya 100rb tapi feel nya 50rb,negative,contextual,1
Budget tipis? Ini cocok,positive,contextual,5
"Mahal dan jelek, double rugi",negative,contextual,2
"Dengan harga di bawah 50rb, ini deal banget",positive,contextual,5
Bagus,positive,short_vague,5
Mantap,positive,short_vague,5
Oke banget,positive,short_vague,5
Recommended,positive,short_vague,4
TOP,positive,short_vague,5
Oke,neutral,short_vague,2
Lumayan lah,neutral,short_vague,2
Standar aja,neutral,short_vague,4
Jelek,negative,short_vague,1
Mengecewakan,negative,short_vague,2
Zonk,negative,short_vague,1
Parah,negative,short_vague,2
Gak worth it,negative,short_vague,2
Puas,positive,short_vague,4
Nice,positive,short_vague,5
So-so,neutral,short_vague,2
Biasa,neutral,short_vague,4
Buruk,negative,short_vague,1
Lebih bagus dari yang di toko sebelah,positive,comparative,5
"Mirip brand X tapi lebih murah, oke lah",positive,comparative,5
Kalah kualitas dibanding kompetitor,negative,comparative,1
"Seperti gambar di marketplace lain, standar",neutral,comparative,4
Lebih worth it dibanding beli di official store,positive,comparative,5
Sama aja kayak yang 10rb-an,negative,comparative,2
Menang harga tapi kalah kualitas,neutral,comparative,3
Lebih jelek dari yang versi lama,negative,comparative,2
Mirip brand mahal tapi harga bersahabat,positive,comparative,5
Ga sebagus ekspektasi dibanding review lain,negative,comparative,1
Lebih cepet nyampe dibanding seller sebelah,positive,comparative,5
Seperti KW nya yang ori,negative,comparative,2
"Sama persis kayak di gambar, unlike seller lain",positive,comparative,5
Kalah jauh sama yang di toko fisik,negative,comparative,2
Lebih worth it daripada beli offline,positive,comparative,5
"Kualitas oke, packaging rapi, pengiriman cepat. Seller ramah. Recommended!",positive,aspect_based,5
"Barang sesuai deskripsi, harga reasonable, tapi pengiriman agak lama",neutral,aspect_based,2
"Produk bagus, cuma warna beda dari foto. Overall satisfied",positive,aspect_based,5
"Kualitas premium, harga mahal, tapi worth it. Packaging mewah, pengiriman aman",positive,aspect_based,5
"Size pas, bahan oke, tapi warna pudar. Seller slow respon",neutral,aspect_based,3
"Produk jelek, packaging rusak, pengiriman lama. Seller ga respon komplain",negative,aspect_based,1
"Barang sesuai ekspektasi, harga murah, pengiriman kilat, seller ramah banget",positive,aspect_based,5
"Kualitas lumayan, harga ok, tapi size kekecilan dan ga bisa tukar",neutral,aspect_based,3
"Produk ori, packaging aman, seller fast respon, tapi ongkir mahal",neutral,aspect_based,3
"Barang cacat, warna beda, size salah. Komplain diabaikan. Parah!",negative,aspect_based,1
"Design keren, material bagus, harga terjangkau, pengiriman cepat pula",positive,aspect_based,5
"Produk sesuai foto, size chart akurat, packaging biasa aja, seller oke",positive,aspect_based,5
"Kualitas standar, harga pas, packaging minimalis, pengiriman tepat waktu",neutral,aspect_based,2
"Barang KW, harga ori, seller bohong, packaging asal. Rugi total",negative,aspect_based,1
"Produk mantap, seller responsif, packaging aman, cuma warna slightly beda",positive,aspect_based,4
"Bahan tipis, jahitan rapi, harga murah, ya sesuai budget lah",neutral,aspect_based,3
"Kualitas oke, size pas, warna match, tapi bau kimianya menyengat",neutral,aspect_based,3
"Produk TOP, packaging rapih banget, seller super baik, pengiriman express",positive,aspect_based,5
"Barang lecet, packaging amburadul, seller jutek, kirimnya lama pula",negative,aspect_based,1
"Desain oke, fungsional, harga bersahabat, tapi material agak cheap feeling",neutral,aspect_based,3
Brang bgus bgt recomend dh pkok ny,positive,typos_informal,4
Jelex bgt gk rekomended,negative,typos_informal,2
Lumyan sih gk trlalu gmn2,neutral,typos_informal,4
TOP BGT DAH PUAS BNR,positive,typos_informal,5
parah bgt ini brg ny,negative,typos_informal,2
mantab jiwa dh pokony,positive,typos_informal,3
biasa aj si gk spesial2 amat,neutral,typos_informal,3
oke bgt recommended bgt pkok ny,positive,typos_informal,5
zonk bgt gk worth it sm skli,negative,typos_informal,1
lumayan lah utk hrga sgni,neutral,typos_informal,4
bgus kok srius dh,positive,typos_informal,5
kecewa parah gk ssuai gmbar,negative,typos_informal,1
standar aj gk ada yg istmwa,neutral,typos_informal,3
RECOMEN BGT SELLER AMANAT,positive,typos_informal,4
njir parah bgt plng jelek yg prnah gw bli,negative,typos_informal,2
ya gtu dh mayan lah,neutral,typos_informal,4
manteb poll gk nyesel bli dsni,positive,typos_informal,4
kpleset bgt dh ekspktasi sm realita,negative,typos_informal,1
okee sih stndart bgt,neutral,typos_informal,2
THE BEST DAH GK BOONG,positive,typos_informal,5
BAGUS BANGETTTT!!! Seneng parah deh!!!,positive,emotional_exaggeration,5
Terburuk yang pernah gw beli!!! Kecewa bgt!!!,negative,emotional_exaggeration,1
"Mantapppp, worth it bangettt, top markotop!!!",positive,emotional_exaggeration,4
Puasssss bangetttt!!! Bakal beli lagi pastiiii!!!,positive,emotional_exaggeration,4
PARAH BANGET JELEK AMPUN DEH!!!,negative,emotional_exaggeration,1
Kerennn abissss sumpah ga nyesel!!!,positive,emotional_exaggeration,5
KECEWA BERAT!!! GAK AKAN BELI LAGI!!!,negative,emotional_exaggeration,1
RECOMMENDED BANGETTTT!!! BELIIII!!!,positive,emotional_exaggeration,5
Mengecewakannnn totally ga worth itttt,negative,emotional_exaggeration,2
TERBAIKKKK!!! SELLER JUARA!!!,positive,emotional_exaggeration,5
ZONK BESARRRRR rugi bangetttt,negative,emotional_exaggeration,2
Seneeeng banget ga nyangkaaaa!!!,positive,emotional_exaggeration,5
WORST PURCHASE EVERRRR!!!,negative,emotional_exaggeration,1
PERFECTTTT sesuai banget ekspektasiii,positive,emotional_exaggeration,5
KAPOKKKK ga mau lagi!!!,negative,emotional_exaggeration,1
Apa ini yang disebut kualitas premium?,negative,question_conditional,1
"Kalau harganya lebih murah, mungkin worth it",neutral,question_conditional,3
"Seandainya packaging lebih rapi, bisa 5 bintang",neutral,question_conditional,3
Masa gini aja ga bisa?,negative,question_conditional,1
Beneran ini ori? Kok rasanya KW,negative,question_conditional,1
"Kalau bisa COD, pasti lebih banyak yang beli",neutral,question_conditional,4
Gimana sih cara packingnya?,negative,question_conditional,1
Seandainya size chart lebih akurat...,negative,question_conditional,1
Emang segini doang kualitasnya?,negative,question_conditional,1
"Kalau ada garansi, pasti lebih ok",neutral,question_conditional,3
Ini serius seller terpercaya?,negative,question_conditional,1
"Andai CS lebih ramah, pengalaman belanja pasti lebih menyenangkan",neutral,question_conditional,3
Masa iya sih barang bagus harga segini?,positive,question_conditional,3
"Seandainya pengiriman lebih cepat, bakal perfect",neutral,question_conditional,3
Emang worth it ya?,neutral,question_conditional,3
"Mantul nih barang, cakep poll",positive,colloquial_slang,5
"Anjir keren abis, sultan punya nih",positive,colloquial_slang,5
Receh banget sih ini mah,negative,colloquial_slang,2
"Sabi banget seller nya, goks",positive,colloquial_slang,3
Anjay cuan nih barang worth it poll,positive,colloquial_slang,5
"Syahdu banget barangnya, mantul",positive,colloquial_slang,5
"Mager sih bli dsni lg, ribet bgt",negative,colloquial_slang,1
Cakep sih tapi agak receh kualitasnya,neutral,colloquial_slang,4
"Ngabs nih seller, goks parah",positive,colloquial_slang,4
"Zonk parah anjir, mending skip",negative,colloquial_slang,1
Alhamdulillah seller amanah banget! Bohongnya konsisten 🙏,negative,sarcasm,1
"Wow packaging profesional banget, dibungkus koran doang 👏",negative,sarcasm,1
"Makasih ya udah buang-buang uang gw, barokah selalu 😊",negative,sarcasm,1
Pelayanan cepat sekali! 3 hari baru dibales chatnya,negative,sarcasm,1
Mantap jiwa! Deskripsi vs realita beda dimensi,negative,sarcasm,1
Terima kasih udah ngasih pengalaman terburuk tahun ini,negative,sarcasm,1
Wah seneng banget dapet barang expired. Lucky me!,negative,sarcasm,1
Kualitas juara! Sekali pakai langsung menyerah,negative,sarcasm,1
"Foto produk bagus banget, sayang cuma foto doang yang bagus",negative,sarcasm,1
Best seller ever! Kalau definisi best itu artinya terburuk,negative,sarcasm,1
"Produk oke, pelayanan ramah, cuma ongkir kemahalan",neutral,mixed_sentiment,3
Kualitas mantap tapi size chart ga akurat,neutral,mixed_sentiment,2
Barang ori tapi lama banget nyampenya,neutral,mixed_sentiment,3
"Harga murah kualitas oke, sayang warnanya pudar",neutral,mixed_sentiment,3
"Seller helpful banget, produknya biasa aja",neutral,mixed_sentiment,3
"Pengiriman kilat, tapi bubble wrap minim banget",neutral,mixed_sentiment,4
Design menarik cuma bahannya kurang berkualitas,negative,mixed_sentiment,1
"CS fast respon, sayangnya produk tidak sesuai",negative,mixed_sentiment,1
Packaging fancy tapi barangnya mengecewakan,negative,mixed_sentiment,2
"Harga terjangkau, ekspektasi rendah, hasil memuaskan",positive,mixed_sentiment,4
Ga mengecewakan untuk harga segini,positive,negation,5
Tidak pernah rugi belanja disini,positive,negation,3
"Bukan zonk, malah untung",positive,negation,5
"Ga seperti yang gw takutkan, justru bagus",positive,negation,5
"Tidak mengecilkan ekspektasi, melampaui malah",positive,negation,4
Bukan produk yang jelek,positive,negation,5
"Ga bakalan komplain, puas banget",positive,negation,4
Tidak ada alasan untuk ga beli lagi,positive,negation,4
Ga disappointing sama sekali,positive,negation,4
Bukan seller yang ga recommended,positive,negation,4
Tidak memuaskan ekspektasi,negative,negation,2
Ga sesuai dengan deskripsi,negative,negation,2
Bukan kualitas yang baik,negative,negation,1
Tidak worth the price,negative,negation,2
Ga akan repeat order,negative,negation,2
Tidak seperti yang di gambar,negative,negation,1
Bukan pilihan yang tepat,negative,negation,1
Ga recommended buat dibeli,negative,negation,1
Tidak sesuai harapan sama sekali,negative,negation,1
Bukan yang gw cari,negative,negation,1
Gitu-gitu aja,neutral,ambiguous,4
Yaa begitu,neutral,ambiguous,2
Oke-oke aja,neutral,ambiguous,3
Standar lah,neutral,ambiguous,3
Lumayan kok,neutral,ambiguous,2
Ya gapapa sih,neutral,ambiguous,3
Gitu doang sih,neutral,ambiguous,3
Biasa banget,neutral,ambiguous,3
Oke deh,neutral,ambiguous,3
Sesuai lah,neutral,ambiguous,4
Ya gitulah,neutral,ambiguous,3
Mayan,neutral,ambiguous,2
Begitu aja,neutral,ambiguous,2
Standar sih,neutral,ambiguous,3
Lumayan deh,neutral,ambiguous,3
Ya oke,neutral,ambiguous,3
Segitu,neutral,ambiguous,3
Yaudah lah,neutral,ambiguous,3
Gapapa,neutral,ambiguous,3
"Dengan budget 50rb, ini udah bagus banget",positive,contextual,4
Harga 100rb dapat kualitas setara 200rb,positive,contextual,5
"Untuk produk entry level, surprisingly good",positive,contextual,5
Murah tapi ga murahan sama sekali,positive,contextual,3
"Harga mahasiswa, kualitas profesional",positive,contextual,4
Untuk harga segitu ya jangan expect banyak,neutral,contextual,3
Sesuai dengan price point nya,neutral,contextual,3
Budget friendly dengan kualitas acceptable,neutral,contextual,4
"Untuk pembelian first time, lumayan",neutral,contextual,3
Kalau harganya 20rb sih reasonable,neutral,contextual,4
Mahal banget tapi hasilnya biasa aja,negative,contextual,2
Premium price tapi standard quality,negative,contextual,1
"Untuk harga 500rb, ini disappointing",negative,contextual,3
Mahal ga sebanding sama kualitas,negative,contextual,1
"Ekspektasi tinggi karena harganya, realita zonk",negative,contextual,1
Mantul,positive,short_vague,4
Ciamik,positive,short_vague,5
Jos,positive,short_vague,5
Okesip,positive,short_vague,5
Memuaskan,positive,short_vague,5
Cukup,neutral,short_vague,3
Sesuai,neutral,short_vague,4
Lumayan sih,neutral,short_vague,3
Kecewa,negative,short_vague,2
Ancur,negative,short_vague,2
Bohong,negative,short_vague,1
Rugi,negative,short_vague,1
Lebih rapi dibanding toko lain,positive,comparative,4
Sama aja kayak yang offline,neutral,comparative,3
Lebih cepet nyampe dari ekspektasi,positive,comparative,5
Mirip brand ternama tapi lebih affordable,positive,comparative,5
Ga sebagus yang versi lama,negative,comparative,1
Lebih worth it dibanding beli di mall,positive,comparative,5
Kalah jauh sama competitor,negative,comparative,1
"Seperti review lain bilang, memang bagus",positive,comparative,4
Ga sesuai ekspektasi dibanding seller lain,negative,comparative,1
Sama persis kayak di deskripsi,positive,comparative,5
"Produk mantap, harga bersahabat, pengiriman cepat, seller top",positive,aspect_based,5
"Kualitas ok, warna sesuai, size pas, packaging aman",positive,aspect_based,5
"Barang sesuai foto, harga oke, tapi pengiriman agak telat",neutral,aspect_based,3
"Material bagus, jahitan rapi, tapi size kecil",neutral,aspect_based,3
"Seller ramah, respon cepat, produk sesuai, pengiriman aman",positive,aspect_based,5
"Kualitas standar, harga lumayan, packaging biasa, seller oke",neutral,aspect_based,3
"Design oke, fungsi bagus, material so-so, harga wajar",neutral,aspect_based,3
"Barang cacat, packaging rusak, seller ga tanggung jawab",negative,aspect_based,2
"Produk ori, seller jujur, harga fair, pengiriman express",positive,aspect_based,5
"Warna beda, size salah, seller lambat respon, kecewa total",negative,aspect_based,2
mantep bgt gk nyesel pokoknya,positive,typos_informal,5
kecwa bgt gk sesuai sm ekspktasi,negative,typos_informal,1
biasa aj gk trllu spesial,neutral,typos_informal,4
RECOMMEND BGT POKOKE TOP,positive,typos_informal,4
prh gk guna beli dsni,negative,typos_informal,2
lumyan sih utk hrga sgtu,neutral,typos_informal,2
bguss bgtt sumpah,positive,typos_informal,5
zonk abis gk wrth it,negative,typos_informal,2
ok lah ya stndart aj,neutral,typos_informal,3
THE BEST BGT POKOKE,positive,typos_informal,5
PUASSSS MAKSIMAL!!! GA NYESEL!!!,positive,emotional_exaggeration,5
JELEK PARAHHH GA BANGET DEH!!!,negative,emotional_exaggeration,3
KERENNN POLL RECOMMENDED ABISSS!!!,positive,emotional_exaggeration,5
MENGECEWAKAN TINGKAT DEWA!!!,negative,emotional_exaggeration,1
WORTH IT BANGETTTT POKOKNYAAA!!!,positive,emotional_exaggeration,5
NYESELLL BANGET BELIIII!!!,negative,emotional_exaggeration,3
SEMPURNAAAA GA ADA CACATNYAAA!!!,positive,emotional_exaggeration,5
TERBURUK SE-INDONESIAAAA!!!,negative,emotional_exaggeration,2
SENEEEENG BGT MAKASIH YAAA!!!,positive,emotional_exaggeration,5
KAPOKKKK TOTAL PARAHHHH!!!,negative,emotional_exaggeration,1
Ini beneran kualitas premium ya?,negative,question_conditional,1
"Kalau ada bubble wrap lebih banyak, pasti aman",neutral,question_conditional,4
Emang segini standar kualitasnya?,negative,question_conditional,1
Seandainya warna lebih banyak pilihan...,neutral,question_conditional,3
Beneran ini worth the hype?,neutral,question_conditional,4
"Kalau bisa retur, gw udah retur dari kemarin",negative,question_conditional,2
Masa iya barang bagus harga murah?,positive,question_conditional,3
Seandainya seller lebih jujur...,negative,question_conditional,1
Emang bisa sebagus ini harga segitu?,positive,question_conditional,5
"Kalau size chart akurat, pasti perfect",neutral,question_conditional,2
Cakep poll barangnya mantul abis,positive,colloquial_slang,4
Receh parah ga guna,negative,colloquial_slang,1
Sabi sih seller nya goks banget,positive,colloquial_slang,5
Mager bgt dah komplainnya ribet,negative,colloquial_slang,1
Cuan nih barang mantul,positive,colloquial_slang,5
Syahdu banget experience nya,positive,colloquial_slang,5
Anjay keren poll recommended,positive,colloquial_slang,5
Receh banget kualitasnya mending skip,negative,colloquial_slang,3
Mantul jiwa cakep abis,positive,colloquial_slang,4
Ngabs parah zonk total,negative,colloquial_slang,1
Luar biasa! Bayar mahal dapet zonk 😊,negative,sarcasm,1
Seller terpercaya! Terpercaya ngecewain maksudnya,negative,sarcasm,1
Mantap! Barang nyampe udah rusak duluan,negative,sarcasm,1
Bagus banget! Kalau definisi bagus itu jelek,negative,sarcasm,1
Thanks seller! Udah ngajarin gw buat ga belanja disini lagi,negative,sarcasm,1
"Barang mantap, tapi admin ga ramah",neutral,mixed_sentiment,3
"Kualitas juara, sayang size ga ada pilihan",neutral,mixed_sentiment,4
"Fast shipping, tapi barangnya ada defect",negative,mixed_sentiment,1
"Seller amanah, produk standar doang",neutral,mixed_sentiment,2
Harga bersahabat tapi kualitas bikin nangis,negative,mixed_sentiment,2
Tidak ada yang salah dengan produk ini,positive,negation,5
Ga pernah salah pilih seller ini,positive,negation,5
Bukan barang yang mengecewakan,positive,negation,5
Tidak ada komplain sama sekali,positive,negation,5
Ga ada yang perlu diperbaiki,positive,negation,3
Tidak buruk kok malah oke,positive,negation,4
Ga jelek malah recommended,positive,negation,5
Bukan seller yang ga profesional,positive,negation,4
Tidak mengecewakan bahkan melampaui,positive,negation,5
Ga ada yang kurang dari produk ini,positive,negation,5
Yaa gitu,neutral,ambiguous,2
Sip lah,neutral,ambiguous,4
Gitu aja kok,neutral,ambiguous,4
Oke sih,neutral,ambiguous,4
Ya begitu,neutral,ambiguous,2
"Untuk modal 30rb, ini deal",positive,contextual,3
Harga 200rb tapi feel 50rb,negative,contextual,1
Budget pelajar dapat kualitas oke,positive,contextual,4
Mahal tapi sebanding kok,positive,contextual,5
Murah tapi ya gitu deh kualitasnya,neutral,contextual,4
Keren,positive,short_vague,5
Oke punya,positive,short_vague,3
Yahud,positive,short_vague,5
Mengecewakan sekali,negative,short_vague,2
Lebih murah dari toko offline,positive,comparative,5
Ga sebanding sama hypenya,negative,comparative,1
Mirip yang di iklan TV,positive,comparative,4
Sama kayak yang KW,negative,comparative,1
Better than expected,positive,comparative,5
"Produk oke, price reasonable, delivery fast, seller helpful",positive,aspect_based,5
"Quality good, color match, size fit, worth buying",positive,aspect_based,3
"Barang sesuai, harga pas, tapi admin lelet",neutral,aspect_based,4
"Material bagus, design ok, tapi packing kurang",neutral,aspect_based,3
"Seller ramah, fast respon, produk disappointing",negative,aspect_based,2
kren bgt pokok nya top,positive,typos_informal,4
jlek prh gk worth,negative,typos_informal,1
standr aj gk gmn2,neutral,typos_informal,3
PUAAAAS BGT SUMPAAAH,positive,emotional_exaggeration,5
ZONKKK BESAR RUGIIII,negative,emotional_exaggeration,2
Luar biasa ya! Komplain malah di-ignore,negative,sarcasm,1
Service excellent! Chat ga dibales 5 hari,negative,sarcasm,1
Produk solid tapi warna agak pudar,neutral,mixed_sentiment,2
Tidak ada cacat apapun,positive,negation,5
"Untuk budget 15rb, ga ngoyo sih",neutral,contextual,3
Lebih cepet dari ekspedisi premium,positive,comparative,4
manteb bgt gk php,positive,typos_informal,5
bgus bgt puas bner dh,positive,typos_informal,5
mantep poll gk nysel bli dsni,positive,typos_informal,5
kren abis recomend pkok ny,positive,typos_informal,5
TOP BGT SUMPAH PUAS MAKSIMAL,positive,typos_informal,5
oke bgt dah worth it bner,positive,typos_informal,5
sngat memuaskan tdk mngecewakan,positive,typos_informal,4
baguz kok smua ny sesuai,positive,typos_informal,4
mantul jiwa gk boong dh,positive,typos_informal,5
the best bgt dah pokoke,positive,typos_informal,5
oke bgt gk php kok,positive,typos_informal,4
puas bner gk nyesel sm skli,positive,typos_informal,5
recommended bgt srius dh,positive,typos_informal,5
jlek prh gk rekomended sm skli,negative,typos_informal,1
kecwa bgt zonk total dh,negative,typos_informal,1
prh bngt gk sesuai gmbar,negative,typos_informal,1
JELEK BGT GAK WORTH SAMA SEKALI,negative,typos_informal,1
kpleset ekspktasi sm realita,negative,typos_informal,2
ngecewain bgt seller ny,negative,typos_informal,1
jlek bner gk ssuai dskripsi,negative,typos_informal,1
zonk bsr rugi bgt dh,negative,typos_informal,1
parah bgt ni brng rusak smua,negative,typos_informal,1
kecewa parah gk bakalan bli lg,negative,typos_informal,1
gk recomend bgt mendingan skip,negative,typos_informal,1
biasa aj si gk gmn2,neutral,typos_informal,3
lumyan lah utk hrga sgtu,neutral,typos_informal,3
standr aj gk spesial2 amat,neutral,typos_informal,3
oke sih tp ya gtu aj,neutral,typos_informal,3
gk jelex gk bgus biasa,neutral,typos_informal,3
lumayan kok sesuai hrga,neutral,typos_informal,3
ya okelah standar bgt,neutral,typos_informal,3
bgtu aj si gk ada yg spesial,neutral,typos_informal,3
cukup lah utk budget sgni,neutral,typos_informal,3
sesuai ekspktasi harga mrah,neutral,typos_informal,3
standar pasaran si,neutral,typos_informal,3
PUASSSSS BANGETTTT GAK NYESELLLLL!!!,positive,emotional_exaggeration,5
MANTAPPPP JIWAAA KERENNN POLLLL!!!,positive,emotional_exaggeration,5
BAGUSSS ABISSS RECOMMENDEDDD BANGETT!!!,positive,emotional_exaggeration,5
TOPPP MARKOTOPPP PUAS MAKSIMALLLL!!!,positive,emotional_exaggeration,5
THE BESTTT YANG PERNAH GW BELIII!!!,positive,emotional_exaggeration,5
KERENNN BANGETT SENENG PARAHHH!!!,positive,emotional_exaggeration,5
PERFECTTTT GA ADA CACATTT!!!,positive,emotional_exaggeration,5
WORTH IT BANGETTT BELIIII!!!,positive,emotional_exaggeration,5
EXCELLENTTTT SUPERRR PUASSS!!!,positive,emotional_exaggeration,5
